El Dorado,El Dorado,",Trinidad","El Dorado,Trinidad"
El Socorro,El Socorro,",Trinidad","El Socorro,Trinidad"
Enterprise,Enterprise,",Trinidad","Enterprise,Trinidad"
Endeavour,Endeavour,",Trinidad","Endeavour,Trinidad"
Erin,Erin,",Trinidad","Erin,Trinidad"
Exchange,Exchange,",Trinidad","Exchange,Trinidad"
Febeau Village,Febeau Village,",Trinidad","Febeau Village,Trinidad"
Felicity,Felicity,",Trinidad","Felicity,Trinidad"
Fifth Company,Fifth Company,",Trinidad","Fifth Company,Trinidad"
Fishing Pond,Fishing Pond,",Trinidad","Fishing Pond,Trinidad"
Flanigin Town,Flanigin Town,",Trinidad","Flanigin Town,Trinidad"
Freeport,Freeport,",Trinidad","Freeport,Trinidad"
Forres Park,Forres Park,",Trinidad","Forres Park,Trinidad"
Four Roads,Four Roads,",Trinidad","Four Roads,Trinidad"
Frederick Settlement,Frederick Settlement,",Trinidad","Frederick Settlement,Trinidad"
Friendship Village,Friendship Village,",Trinidad","Friendship Village,Trinidad"
Fullarton,Fullarton,",Trinidad","Fullarton,Trinidad"
Fyzabad,Fyzabad,",Trinidad","Fyzabad,Trinidad"
Gasparillo,Gasparillo,",Trinidad","Gasparillo,Trinidad"
Glencoe,Glencoe,",Trinidad","Glencoe,Trinidad"
Golconda,Golconda,",Trinidad","Golconda,Trinidad"
Gonzales,Gonzales,",Trinidad","Gonzales,Trinidad"
Gopaul Lands,Gopaul Lands,",Trinidad","Gopaul Lands,Trinidad"
Goodwood Park,Goodwood Park,",Trinidad","Goodwood Park,Trinidad"
Gran Couva,Gran Couva,",Trinidad","Gran Couva,Trinidad"
Grande Riviere,Grande Riviere,",Trinidad","Grande Riviere,Trinidad"
Guaico,Guaico,",Trinidad","Guaico,Trinidad"
Guanapo,Guanapo,",Trinidad","Guanapo,Trinidad"
Guapo,Guapo,",Trinidad","Guapo,Trinidad"
Guayaguayare,Guayaguayare,",Trinidad","Guayaguayare,Trinidad"
Gulf View,Gulf View,",Trinidad","Gulf View,Trinidad"
Hardbargain,Hardbargain,",Trinidad","Hardbargain,Trinidad"
Hindustan,Hindustan,",Trinidad","Hindustan,Trinidad"
Hope,Hope,",Trinidad","Hope,Trinidad"
Icacos,Icacos,",Trinidad","Icacos,Trinidad"
Iere Village,Iere Village,",Trinidad","Iere Village,Trinidad"
Indian Chain,Indian Chain,",Trinidad","Indian Chain,Trinidad"
Indian Walk,Indian Walk,",Trinidad","Indian Walk,Trinidad"
Name,Name,",Trinidad","Name,Trinidad"
Jerningham Junction,Jerningham Junction,",Trinidad","Jerningham Junction,Trinidad"
John John,John John,",Trinidad","John John,Trinidad"
Jordan Hill,Jordan Hill,",Trinidad","Jordan Hill,Trinidad"
Kelly Village,Kelly Village,",Trinidad","Kelly Village,Trinidad"
Kernaham (or Kernahan),Kernaham (or Kernahan),",Trinidad","Kernaham (or Kernahan),Trinidad"
Kumar Village,Kumar Village,",Trinidad","Kumar Village,Trinidad"
L'Anse Mitan,L'Anse Mitan,",Trinidad","L'Anse Mitan,Trinidad"
La Brea,La Brea,",Trinidad","La Brea,Trinidad"
La Canoa,La Canoa,",Trinidad","La Canoa,Trinidad"
La Horquetta,La Horquetta,",Trinidad","La Horquetta,Trinidad"
La Paille,La Paille,",Trinidad","La Paille,Trinidad"
La Romaine,La Romaine,",Trinidad","La Romaine,Trinidad"
"Las Lomas, Trinidad and Tobago","Las Lomas, Trinidad and Tobago",",Trinidad","Las Lomas, Trinidad and Tobago,Trinidad"
Las Cuevas,Las Cuevas,",Trinidad","Las Cuevas,Trinidad"
Laventille,Laventille,",Trinidad","Laventille,Trinidad"
"Lengua, Trinidad and Tobago","Lengua, Trinidad and Tobago",",Trinidad","Lengua, Trinidad and Tobago,Trinidad"
Longdenville,Longdenville,",Trinidad","Longdenville,Trinidad"
Lopinot,Lopinot,",Trinidad","Lopinot,Trinidad"
Los Bajos,Los Bajos,",Trinidad","Los Bajos,Trinidad"
Lowlands,Lowlands,",Trinidad","Lowlands,Trinidad"
Macoya,Macoya,",Trinidad","Macoya,Trinidad"
Madras Settlement,Madras Settlement,",Trinidad","Madras Settlement,Trinidad"
Mairao Village,Mairao Village,",Trinidad","Mairao Village,Trinidad"
Malabar,Malabar,",Trinidad","Malabar,Trinidad"
Malick,Malick,",Trinidad","Malick,Trinidad"
Manzanilla,Manzanilla,",Trinidad","Manzanilla,Trinidad"
Marabella,Marabella,",Trinidad","Marabella,Trinidad"
Maracas,Maracas,",Trinidad","Maracas,Trinidad"
Maraval,Maraval,",Trinidad","Maraval,Trinidad"
Matelot,Matelot,",Trinidad","Matelot,Trinidad"
Matura,Matura,",Trinidad","Matura,Trinidad"
Mausica,Mausica,",Trinidad","Mausica,Trinidad"
Mayaro,Mayaro,",Trinidad","Mayaro,Trinidad"
Mayo,Mayo,",Trinidad","Mayo,Trinidad"
Mc Bean,Mc Bean,",Trinidad","Mc Bean,Trinidad"
Mohammedville,Mohammedville,",Trinidad","Mohammedville,Trinidad"
Mon Repos,Mon Repos,",Trinidad","Mon Repos,Trinidad"
Montrose,Montrose,",Trinidad","Montrose,Trinidad"
Monkey Town,Monkey Town,",Trinidad","Monkey Town,Trinidad"
Montserrat,Montserrat,",Trinidad","Montserrat,Trinidad"
Morang,Morang,",Trinidad","Morang,Trinidad"
Morne Diablo,Morne Diablo,",Trinidad","Morne Diablo,Trinidad"
Moruga,Moruga,",Trinidad","Moruga,Trinidad"
Morvant,Morvant,",Trinidad","Morvant,Trinidad"
Mount D'Or,Mount D'Or,",Trinidad","Mount D'Or,Trinidad"
Mount Lambert,Mount Lambert,",Trinidad","Mount Lambert,Trinidad"
Mount Stewart,Mount Stewart,",Trinidad","Mount Stewart,Trinidad"
Mucurapo,Mucurapo,",Trinidad","Mucurapo,Trinidad"
Name,Name,",Trinidad","Name,Trinidad"
Navet,Navet,",Trinidad","Navet,Trinidad"
New Grant,New Grant,",Trinidad","New Grant,Trinidad"
O'Meara,O'Meara,",Trinidad","O'Meara,Trinidad"
Orange Valley,Orange Valley,",Trinidad","Orange Valley,Trinidad"
Oropune Village,Oropune Village,",Trinidad","Oropune Village,Trinidad"
Oropouche,Oropouche,",Trinidad","Oropouche,Trinidad"
Ortoire,Ortoire,",Trinidad","Ortoire,Trinidad"
Otaheite,Otaheite,",Trinidad","Otaheite,Trinidad"
Palmyra,Palmyra,",Trinidad","Palmyra,Trinidad"
Palo Seco,Palo Seco,",Trinidad","Palo Seco,Trinidad"
Patna Village,Patna Village,",Trinidad","Patna Village,Trinidad"
Penal,Penal,",Trinidad","Penal,Trinidad"
Penal Rock,Penal Rock,",Trinidad","Penal Rock,Trinidad"
Petit Trou,Petit Trou,",Trinidad","Petit Trou,Trinidad"
Petit Valley,Petit Valley,",Trinidad","Petit Valley,Trinidad"
Phoenix Park,Phoenix Park,",Trinidad","Phoenix Park,Trinidad"
Piarco,Piarco,",Trinidad","Piarco,Trinidad"
Pierreville,Pierreville,",Trinidad","Pierreville,Trinidad"
Piparo,Piparo,",Trinidad","Piparo,Trinidad"
Plaisance,Plaisance,",Trinidad","Plaisance,Trinidad"
Plaisance Park,Plaisance Park,",Trinidad","Plaisance Park,Trinidad"
Point Fortin,Point Fortin,",Trinidad","Point Fortin,Trinidad"
Point Lisas,Point Lisas,",Trinidad","Point Lisas,Trinidad"
Pointe-à-Pierre,Pointe-à-Pierre,",Trinidad","Pointe-à-Pierre,Trinidad"
Poole,Poole,",Trinidad","Poole,Trinidad"
Port of Spain,Port of Spain,",Trinidad","Port of Spain,Trinidad"
Preysal,Preysal,",Trinidad","Preysal,Trinidad"
Princes Town,Princes Town,",Trinidad","Princes Town,Trinidad"
Quarry Village,Quarry Village,",Trinidad","Quarry Village,Trinidad"
Quinam,Quinam,",Trinidad","Quinam,Trinidad"
Rampanalgas,Rampanalgas,",Trinidad","Rampanalgas,Trinidad"
Rancho Quemado,Rancho Quemado,",Trinidad","Rancho Quemado,Trinidad"
Ravin Anglais,Ravin Anglais,",Trinidad","Ravin Anglais,Trinidad"
Redhead,Redhead,",Trinidad","Redhead,Trinidad"
Rio Claro,Rio Claro,",Trinidad","Rio Claro,Trinidad"
Roussillac,Roussillac,",Trinidad","Roussillac,Trinidad"
Roxborough,Roxborough,",Trinidad","Roxborough,Trinidad"
St. Ann's,St. Ann's,",Trinidad","St. Ann's,Trinidad"
St. Augustine,St. Augustine,",Trinidad","St. Augustine,Trinidad"
St. Barb's,St. Barb's,",Trinidad","St. Barb's,Trinidad"
St. Clair,St. Clair,",Trinidad","St. Clair,Trinidad"
St. Helena,St. Helena,",Trinidad","St. Helena,Trinidad"
St. James,St. James,",Trinidad","St. James,Trinidad"
St. Joseph,St. Joseph,",Trinidad","St. Joseph,Trinidad"
St. Mary's,St. Mary's,",Trinidad","St. Mary's,Trinidad"
Saint Madeleine,Saint Madeleine,",Trinidad","Saint Madeleine,Trinidad"
San Fernando,San Fernando,",Trinidad","San Fernando,Trinidad"
San Francique,San Francique,",Trinidad","San Francique,Trinidad"
San Juan,San Juan,",Trinidad","San Juan,Trinidad"
San Raphael,San Raphael,",Trinidad","San Raphael,Trinidad"
Sans Souci,Sans Souci,",Trinidad","Sans Souci,Trinidad"
Sangre Chiquito,Sangre Chiquito,",Trinidad","Sangre Chiquito,Trinidad"
Sangre Grande,Sangre Grande,",Trinidad","Sangre Grande,Trinidad"
Santa Cruz,Santa Cruz,",Trinidad","Santa Cruz,Trinidad"
Santa Flora,Santa Flora,",Trinidad","Santa Flora,Trinidad"
Santa Margarita,Santa Margarita,",Trinidad","Santa Margarita,Trinidad"
Santa Rosa,Santa Rosa,",Trinidad","Santa Rosa,Trinidad"
Savonetta,Savonetta,",Trinidad","Savonetta,Trinidad"
Siparia,Siparia,",Trinidad","Siparia,Trinidad"
South Oropouche,South Oropouche,",Trinidad","South Oropouche,Trinidad"
Spring Village,Spring Village,",Trinidad","Spring Village,Trinidad"
Syne Village,Syne Village,",Trinidad","Syne Village,Trinidad"
Tabaquite,Tabaquite,",Trinidad","Tabaquite,Trinidad"
Tacarigua,Tacarigua,",Trinidad","Tacarigua,Trinidad"
Talparo,Talparo,",Trinidad","Talparo,Trinidad"
Techier Village,Techier Village,",Trinidad","Techier Village,Trinidad"
Thick Village,Thick Village,",Trinidad","Thick Village,Trinidad"
Third Company,Third Company,",Trinidad","Third Company,Trinidad"
Toco,Toco,",Trinidad","Toco,Trinidad"
Tortuga,Tortuga,",Trinidad","Tortuga,Trinidad"
Trincity,Trincity,",Trinidad","Trincity,Trinidad"
Trou Macaque,Trou Macaque,",Trinidad","Trou Macaque,Trinidad"
Tunapuna,Tunapuna,",Trinidad","Tunapuna,Trinidad"
Union Village,Union Village,",Trinidad","Union Village,Trinidad"
Valencia,Valencia,",Trinidad","Valencia,Trinidad"
Valsayn,Valsayn,",Trinidad","Valsayn,Trinidad"
Vega de Oropouche,Vega de Oropouche,",Trinidad","Vega de Oropouche,Trinidad"
Vessigny,Vessigny,",Trinidad","Vessigny,Trinidad"
Vistabella,Vistabella,",Trinidad","Vistabella,Trinidad"
Waterloo,Waterloo,",Trinidad","Waterloo,Trinidad"
Westmoorings,Westmoorings,",Trinidad","Westmoorings,Trinidad"
Whiteland,Whiteland,",Trinidad","Whiteland,Trinidad"
Williamsville,Williamsville,",Trinidad","Williamsville,Trinidad"
Woodbrook,Woodbrook,",Trinidad","Woodbrook,Trinidad"
